month,weekday,day,hour,holiday,airTemp,value
7.0,6.0,2.0,21.0,0.0,15.3,0.0069999999999999
7.0,6.0,2.0,22.0,0.0,14.2,0.0069999999999999
7.0,6.0,2.0,23.0,0.0,13.1,0.0069999999999999
7.0,0.0,3.0,0.0,0.0,12.6,0.0069999999999999
7.0,0.0,3.0,1.0,0.0,12.0,0.0069999999999999
7.0,0.0,3.0,2.0,0.0,11.5,0.0069999999999999
7.0,0.0,3.0,3.0,0.0,10.7,0.0069999999999999
7.0,0.0,3.0,4.0,0.0,10.6,0.0069999999999999
7.0,0.0,3.0,5.0,0.0,11.3,0.0069999999999999
7.0,0.0,3.0,6.0,0.0,12.5,0.0069999999999999
7.0,0.0,3.0,7.0,0.0,14.0,0.0069999999999999
7.0,0.0,3.0,8.0,0.0,15.5,0.0069999999999999
7.0,0.0,3.0,9.0,0.0,16.0,0.0069999999999999
7.0,0.0,3.0,10.0,0.0,18.9,0.0069999999999999
7.0,0.0,3.0,11.0,0.0,18.3,0.0069999999999999
7.0,0.0,3.0,12.0,0.0,18.5,0.0069999999999999
7.0,0.0,3.0,13.0,0.0,18.4,0.0069999999999999
7.0,0.0,3.0,14.0,0.0,20.2,0.0069999999999999
7.0,0.0,3.0,15.0,0.0,20.7,0.0069999999999999
7.0,0.0,3.0,16.0,0.0,19.9,0.0069999999999999
7.0,0.0,3.0,17.0,0.0,19.7,0.0069999999999999
7.0,0.0,3.0,18.0,0.0,19.5,0.0069999999999999
7.0,0.0,3.0,19.0,0.0,18.9,0.0069999999999999
7.0,0.0,3.0,20.0,0.0,17.5,0.0069999999999999
7.0,0.0,3.0,21.0,0.0,16.2,0.0069999999999999
7.0,0.0,3.0,22.0,0.0,15.2,0.0069999999999999
7.0,0.0,3.0,23.0,0.0,14.1,0.0069999999999999
7.0,1.0,4.0,0.0,1.0,13.2,0.0069999999999999
7.0,1.0,4.0,1.0,1.0,12.6,0.0069999999999999
7.0,1.0,4.0,2.0,1.0,12.2,0.0069999999999999
7.0,1.0,4.0,3.0,1.0,11.5,0.0069999999999999
7.0,1.0,4.0,4.0,1.0,11.4,0.0069999999999999
7.0,1.0,4.0,5.0,1.0,11.6,0.0069999999999999
7.0,1.0,4.0,6.0,1.0,13.0,0.0069999999999999
7.0,1.0,4.0,7.0,1.0,14.8,0.0069999999999999
7.0,1.0,4.0,8.0,1.0,16.5,0.0069999999999999
7.0,1.0,4.0,9.0,1.0,18.9,0.0069999999999999
7.0,1.0,4.0,10.0,1.0,20.1,0.0069999999999999
7.0,1.0,4.0,11.0,1.0,19.5,0.0069999999999999
7.0,1.0,4.0,12.0,1.0,19.6,0.0069999999999999
7.0,1.0,4.0,13.0,1.0,20.2,0.0069999999999999
7.0,1.0,4.0,14.0,1.0,19.9,0.0069999999999999
7.0,1.0,4.0,15.0,1.0,19.3,0.0069999999999999
7.0,1.0,4.0,16.0,1.0,18.9,0.0069999999999999
7.0,1.0,4.0,17.0,1.0,17.9,0.0069999999999999
7.0,1.0,4.0,18.0,1.0,18.0,0.0069999999999999
7.0,1.0,4.0,19.0,1.0,17.8,0.0069999999999999
7.0,1.0,4.0,20.0,1.0,17.5,0.0069999999999999
7.0,1.0,4.0,21.0,1.0,17.1,0.0069999999999999
7.0,1.0,4.0,22.0,1.0,16.3,0.0069999999999999
7.0,1.0,4.0,23.0,1.0,15.8,0.0069999999999999
7.0,2.0,5.0,0.0,0.0,15.5,0.0069999999999999
7.0,2.0,5.0,1.0,0.0,15.6,0.0069999999999999
7.0,2.0,5.0,2.0,0.0,15.7,0.0069999999999999
7.0,2.0,5.0,3.0,0.0,15.3,0.0069999999999999
7.0,2.0,5.0,4.0,0.0,14.8,0.0069999999999999
7.0,2.0,5.0,5.0,0.0,15.3,0.0069999999999999
7.0,2.0,5.0,6.0,0.0,15.2,0.0069999999999999
7.0,2.0,5.0,7.0,0.0,15.6,0.0069999999999999
7.0,2.0,5.0,8.0,0.0,17.2,0.0069999999999999
7.0,2.0,5.0,9.0,0.0,16.6,0.0069999999999999
7.0,2.0,5.0,10.0,0.0,18.0,0.0069999999999999
7.0,2.0,5.0,11.0,0.0,18.5,0.0069999999999999
7.0,2.0,5.0,12.0,0.0,18.7,0.0069999999999999
7.0,2.0,5.0,13.0,0.0,19.4,0.0069999999999999
7.0,2.0,5.0,14.0,0.0,20.0,0.0069999999999999
7.0,2.0,5.0,15.0,0.0,20.5,0.0069999999999999
7.0,2.0,5.0,16.0,0.0,21.1,0.0069999999999999
7.0,2.0,5.0,17.0,0.0,20.0,0.0069999999999999
7.0,2.0,5.0,18.0,0.0,20.6,0.0069999999999999
7.0,2.0,5.0,19.0,0.0,19.8,0.0069999999999999
7.0,2.0,5.0,20.0,0.0,18.6,0.0069999999999999
7.0,2.0,5.0,21.0,0.0,17.3,0.0069999999999999
7.0,2.0,5.0,22.0,0.0,16.6,0.0069999999999999
7.0,2.0,5.0,23.0,0.0,15.6,0.0069999999999999
7.0,3.0,6.0,0.0,0.0,14.5,0.0069999999999999
7.0,3.0,6.0,1.0,0.0,13.4,0.0069999999999999
7.0,3.0,6.0,2.0,0.0,12.3,0.0069999999999999
7.0,3.0,6.0,3.0,0.0,11.1,0.0069999999999999
7.0,3.0,6.0,4.0,0.0,11.2,0.0069999999999999
7.0,3.0,6.0,5.0,0.0,10.8,0.0069999999999999
7.0,3.0,6.0,6.0,0.0,12.1,0.0069999999999999
7.0,3.0,6.0,7.0,0.0,13.7,0.0069999999999999
7.0,3.0,6.0,8.0,0.0,16.5,0.0069999999999999
7.0,3.0,6.0,9.0,0.0,17.7,0.0069999999999999
7.0,3.0,6.0,10.0,0.0,17.7,0.0069999999999999
7.0,3.0,6.0,11.0,0.0,18.5,0.0069999999999999
7.0,3.0,6.0,12.0,0.0,19.2,0.0069999999999999
7.0,3.0,6.0,13.0,0.0,21.2,0.0069999999999999
7.0,3.0,6.0,14.0,0.0,20.9,0.0069999999999999
7.0,3.0,6.0,15.0,0.0,21.0,0.0069999999999999
7.0,3.0,6.0,16.0,0.0,21.5,0.0069999999999999
7.0,3.0,6.0,17.0,0.0,20.9,0.0069999999999999
7.0,3.0,6.0,18.0,0.0,20.7,0.0069999999999999
7.0,3.0,6.0,19.0,0.0,19.8,0.0069999999999999
7.0,3.0,6.0,20.0,0.0,19.4,0.0069999999999999
7.0,3.0,6.0,21.0,0.0,18.3,0.0069999999999999
7.0,3.0,6.0,22.0,0.0,16.6,0.0069999999999999
7.0,3.0,6.0,23.0,0.0,16.1,0.0069999999999999
7.0,4.0,7.0,0.0,0.0,15.8,0.0069999999999999
7.0,4.0,7.0,1.0,0.0,15.6,0.0069999999999999
7.0,4.0,7.0,2.0,0.0,15.2,0.0069999999999999
7.0,4.0,7.0,3.0,0.0,15.0,0.0069999999999999
7.0,4.0,7.0,4.0,0.0,14.6,0.0069999999999999
7.0,4.0,7.0,5.0,0.0,15.1,0.0069999999999999
7.0,4.0,7.0,6.0,0.0,14.8,0.0069999999999999
7.0,4.0,7.0,7.0,0.0,15.8,0.0069999999999999
7.0,4.0,7.0,8.0,0.0,16.6,0.0069999999999999
7.0,4.0,7.0,9.0,0.0,17.9,0.0069999999999999
7.0,4.0,7.0,10.0,0.0,20.1,0.0069999999999999
7.0,4.0,7.0,11.0,0.0,20.2,0.0069999999999999
7.0,4.0,7.0,12.0,0.0,22.0,0.0069999999999999
7.0,4.0,7.0,13.0,0.0,22.3,0.0069999999999999
7.0,4.0,7.0,14.0,0.0,22.8,0.0069999999999999
7.0,4.0,7.0,15.0,0.0,23.1,0.0069999999999999
7.0,4.0,7.0,16.0,0.0,22.0,0.0069999999999999
7.0,4.0,7.0,17.0,0.0,21.8,0.0069999999999999
7.0,4.0,7.0,18.0,0.0,21.2,0.0069999999999999
7.0,4.0,7.0,19.0,0.0,20.6,0.0069999999999999
7.0,4.0,7.0,20.0,0.0,19.1,0.0069999999999999
7.0,4.0,7.0,21.0,0.0,18.5,0.0069999999999999
7.0,4.0,7.0,22.0,0.0,18.0,0.0069999999999999
7.0,4.0,7.0,23.0,0.0,17.2,0.0069999999999999
7.0,5.0,8.0,0.0,0.0,16.6,0.0069999999999999
7.0,5.0,8.0,1.0,0.0,15.9,0.0069999999999999
7.0,5.0,8.0,2.0,0.0,15.3,0.0069999999999999
7.0,5.0,8.0,3.0,0.0,15.3,0.0069999999999999
7.0,5.0,8.0,4.0,0.0,15.0,0.0069999999999999
7.0,5.0,8.0,5.0,0.0,15.1,0.0069999999999999
7.0,5.0,8.0,6.0,0.0,16.1,0.0069999999999999
7.0,5.0,8.0,7.0,0.0,17.2,0.0069999999999999
7.0,5.0,8.0,8.0,0.0,17.9,0.0069999999999999
7.0,5.0,8.0,9.0,0.0,18.2,0.0069999999999999
7.0,5.0,8.0,10.0,0.0,18.9,0.0069999999999999
7.0,5.0,8.0,11.0,0.0,20.4,0.0069999999999999
7.0,5.0,8.0,12.0,0.0,21.8,0.0069999999999999
7.0,5.0,8.0,13.0,0.0,22.9,0.0069999999999999
7.0,5.0,8.0,14.0,0.0,22.4,0.0069999999999999
7.0,5.0,8.0,15.0,0.0,22.1,0.0069999999999999
7.0,5.0,8.0,16.0,0.0,21.4,0.0069999999999999
7.0,5.0,8.0,17.0,0.0,21.5,0.0069999999999999
7.0,5.0,8.0,18.0,0.0,21.5,0.0069999999999999
7.0,5.0,8.0,19.0,0.0,20.7,0.0069999999999999
7.0,5.0,8.0,20.0,0.0,19.2,0.0069999999999999
7.0,5.0,8.0,21.0,0.0,18.2,0.0069999999999999
7.0,5.0,8.0,22.0,0.0,17.2,0.0069999999999999
7.0,5.0,8.0,23.0,0.0,16.3,0.0069999999999999
7.0,6.0,9.0,0.0,0.0,16.3,0.0069999999999999
7.0,6.0,9.0,1.0,0.0,16.2,0.0069999999999999
7.0,6.0,9.0,2.0,0.0,16.2,0.0069999999999999
7.0,6.0,9.0,3.0,0.0,15.1,0.0069999999999999
7.0,6.0,9.0,4.0,0.0,15.0,0.0069999999999999
7.0,6.0,9.0,5.0,0.0,15.7,0.0069999999999999
7.0,6.0,9.0,6.0,0.0,17.0,0.0069999999999999
7.0,6.0,9.0,7.0,0.0,17.3,0.0069999999999999
7.0,6.0,9.0,8.0,0.0,18.0,0.0069999999999999
7.0,6.0,9.0,9.0,0.0,20.4,0.0069999999999999
7.0,6.0,9.0,10.0,0.0,23.0,0.0069999999999999
7.0,6.0,9.0,11.0,0.0,22.2,0.0069999999999999
7.0,6.0,9.0,12.0,0.0,21.8,0.0069999999999999
7.0,6.0,9.0,13.0,0.0,22.0,0.0069999999999999
7.0,6.0,9.0,14.0,0.0,22.1,0.0069999999999999
7.0,6.0,9.0,15.0,0.0,21.5,0.0069999999999999
7.0,6.0,9.0,16.0,0.0,21.5,0.0069999999999999
7.0,6.0,9.0,17.0,0.0,21.6,0.0069999999999999
7.0,6.0,9.0,18.0,0.0,20.9,0.0069999999999999
7.0,6.0,9.0,19.0,0.0,20.2,0.0069999999999999
7.0,6.0,9.0,20.0,0.0,19.8,0.0069999999999999
7.0,6.0,9.0,21.0,0.0,18.8,0.0069999999999999
7.0,6.0,9.0,22.0,0.0,18.0,0.0069999999999999
7.0,6.0,9.0,23.0,0.0,17.7,0.0069999999999999
7.0,0.0,10.0,0.0,0.0,17.3,0.0069999999999999
7.0,0.0,10.0,1.0,0.0,17.3,0.0069999999999999
7.0,0.0,10.0,2.0,0.0,17.9,0.0069999999999999
7.0,0.0,10.0,3.0,0.0,17.4,0.0069999999999999
7.0,0.0,10.0,4.0,0.0,17.3,0.0069999999999999
7.0,0.0,10.0,5.0,0.0,17.4,0.0069999999999999
7.0,0.0,10.0,6.0,0.0,17.4,0.0069999999999999
7.0,0.0,10.0,7.0,0.0,17.9,0.0069999999999999
7.0,0.0,10.0,8.0,0.0,18.3,0.0069999999999999
7.0,0.0,10.0,9.0,0.0,18.4,0.0069999999999999
7.0,0.0,10.0,10.0,0.0,18.3,0.0069999999999999
7.0,0.0,10.0,11.0,0.0,19.1,0.0069999999999999
7.0,0.0,10.0,12.0,0.0,19.2,0.0069999999999999
7.0,0.0,10.0,13.0,0.0,21.2,0.0069999999999999
7.0,0.0,10.0,14.0,0.0,22.4,0.0069999999999999
7.0,0.0,10.0,15.0,0.0,22.2,0.0069999999999999
7.0,0.0,10.0,16.0,0.0,22.2,0.0069999999999999
7.0,0.0,10.0,17.0,0.0,21.5,0.0069999999999999
7.0,0.0,10.0,18.0,0.0,20.5,0.0069999999999999
7.0,0.0,10.0,19.0,0.0,20.0,0.0069999999999999
7.0,0.0,10.0,20.0,0.0,18.5,0.0069999999999999
7.0,0.0,10.0,21.0,0.0,17.6,0.0069999999999999
7.0,0.0,10.0,22.0,0.0,16.7,0.0069999999999999
7.0,0.0,10.0,23.0,0.0,15.9,0.0069999999999999
7.0,1.0,11.0,0.0,0.0,16.1,0.0069999999999999
7.0,1.0,11.0,1.0,0.0,16.6,0.0069999999999999
7.0,1.0,11.0,2.0,0.0,16.3,0.0069999999999999
7.0,1.0,11.0,3.0,0.0,16.3,0.0069999999999999
7.0,1.0,11.0,4.0,0.0,15.4,0.0069999999999999
7.0,1.0,11.0,5.0,0.0,15.9,0.0069999999999999
7.0,1.0,11.0,6.0,0.0,16.4,0.0069999999999999
7.0,1.0,11.0,7.0,0.0,17.2,0.0069999999999999
7.0,1.0,11.0,8.0,0.0,17.7,0.0069999999999999
7.0,1.0,11.0,9.0,0.0,18.2,0.0069999999999999
7.0,1.0,11.0,10.0,0.0,18.2,0.0069999999999999
7.0,1.0,11.0,11.0,0.0,19.1,0.0069999999999999
7.0,1.0,11.0,12.0,0.0,21.9,0.0069999999999999
7.0,1.0,11.0,13.0,0.0,18.8,0.0069999999999999
7.0,1.0,11.0,14.0,0.0,19.9,0.0069999999999999
7.0,1.0,11.0,15.0,0.0,18.9,0.0069999999999999
7.0,1.0,11.0,16.0,0.0,18.7,0.0069999999999999
7.0,1.0,11.0,17.0,0.0,18.9,0.0069999999999999
7.0,1.0,11.0,18.0,0.0,18.4,0.0069999999999999
7.0,1.0,11.0,19.0,0.0,18.0,0.0069999999999999
7.0,1.0,11.0,20.0,0.0,17.6,0.0069999999999999
7.0,1.0,11.0,21.0,0.0,16.6,0.0069999999999999
7.0,1.0,11.0,22.0,0.0,16.0,0.0069999999999999
7.0,1.0,11.0,23.0,0.0,15.0,0.0069999999999999
7.0,2.0,12.0,0.0,0.0,14.5,0.0069999999999999
7.0,2.0,12.0,1.0,0.0,13.8,0.0069999999999999
7.0,2.0,12.0,2.0,0.0,13.8,0.0069999999999999
7.0,2.0,12.0,3.0,0.0,13.2,0.0069999999999999
7.0,2.0,12.0,4.0,0.0,12.7,0.0069999999999999
7.0,2.0,12.0,5.0,0.0,12.5,0.0069999999999999
7.0,2.0,12.0,6.0,0.0,13.5,0.0069999999999999
7.0,2.0,12.0,7.0,0.0,15.1,0.0069999999999999
7.0,2.0,12.0,8.0,0.0,15.9,0.0069999999999999
7.0,2.0,12.0,9.0,0.0,16.4,0.0069999999999999
7.0,2.0,12.0,10.0,0.0,18.3,0.0069999999999999
7.0,2.0,12.0,11.0,0.0,15.6,0.0069999999999999
7.0,2.0,12.0,12.0,0.0,17.1,0.0069999999999999
7.0,2.0,12.0,13.0,0.0,15.9,0.0069999999999999
7.0,2.0,12.0,14.0,0.0,14.7,0.0069999999999999
7.0,2.0,12.0,15.0,0.0,16.1,0.0069999999999999
7.0,2.0,12.0,16.0,0.0,16.7,0.0069999999999999
7.0,2.0,12.0,17.0,0.0,17.5,0.0069999999999999
7.0,2.0,12.0,18.0,0.0,17.3,0.0069999999999999
7.0,2.0,12.0,19.0,0.0,15.9,0.0069999999999999
7.0,2.0,12.0,20.0,0.0,15.2,0.0069999999999999
7.0,2.0,12.0,21.0,0.0,14.5,0.0069999999999999
7.0,2.0,12.0,22.0,0.0,13.7,0.0069999999999999
7.0,2.0,12.0,23.0,0.0,13.5,0.0069999999999999
7.0,3.0,13.0,0.0,0.0,13.1,0.0069999999999999
7.0,3.0,13.0,1.0,0.0,12.8,0.0069999999999999
7.0,3.0,13.0,2.0,0.0,12.8,0.0069999999999999
7.0,3.0,13.0,3.0,0.0,12.8,0.0069999999999999
7.0,3.0,13.0,4.0,0.0,12.8,0.0069999999999999
7.0,3.0,13.0,5.0,0.0,12.6,0.0069999999999999
7.0,3.0,13.0,6.0,0.0,12.8,0.0069999999999999
7.0,3.0,13.0,7.0,0.0,13.9,0.0069999999999999
7.0,3.0,13.0,8.0,0.0,14.7,0.0069999999999999
7.0,3.0,13.0,9.0,0.0,15.8,0.0069999999999999
7.0,3.0,13.0,10.0,0.0,18.3,0.0069999999999999
7.0,3.0,13.0,11.0,0.0,19.6,0.0069999999999999
7.0,3.0,13.0,12.0,0.0,15.3,0.0069999999999999
7.0,3.0,13.0,13.0,0.0,17.6,0.0069999999999999
7.0,3.0,13.0,14.0,0.0,17.1,0.0069999999999999
7.0,3.0,13.0,15.0,0.0,17.0,0.0069999999999999
7.0,3.0,13.0,16.0,0.0,14.3,0.0069999999999999
7.0,3.0,13.0,17.0,0.0,15.9,0.0069999999999999
7.0,3.0,13.0,18.0,0.0,16.1,0.0069999999999999
7.0,3.0,13.0,19.0,0.0,16.0,0.0069999999999999
7.0,3.0,13.0,20.0,0.0,15.8,0.0069999999999999
7.0,3.0,13.0,21.0,0.0,15.1,0.0069999999999999
7.0,3.0,13.0,22.0,0.0,14.9,0.0069999999999999
7.0,3.0,13.0,23.0,0.0,14.3,0.0069999999999999
7.0,4.0,14.0,0.0,0.0,13.4,0.0069999999999999
7.0,4.0,14.0,1.0,0.0,12.7,0.0069999999999999
7.0,4.0,14.0,2.0,0.0,12.4,0.0069999999999999
7.0,4.0,14.0,3.0,0.0,12.4,0.0069999999999999
7.0,4.0,14.0,4.0,0.0,12.3,0.0069999999999999
7.0,4.0,14.0,5.0,0.0,11.6,0.0069999999999999
7.0,4.0,14.0,6.0,0.0,12.6,0.0069999999999999
7.0,4.0,14.0,7.0,0.0,14.1,0.0069999999999999
7.0,4.0,14.0,8.0,0.0,14.9,0.0069999999999999
7.0,4.0,14.0,9.0,0.0,16.2,0.0069999999999999
7.0,4.0,14.0,10.0,0.0,17.3,0.0069999999999999
7.0,4.0,14.0,11.0,0.0,19.0,0.0069999999999999
7.0,4.0,14.0,12.0,0.0,19.0,0.0069999999999999
7.0,4.0,14.0,13.0,0.0,20.7,0.0069999999999999
7.0,4.0,14.0,14.0,0.0,20.5,0.0069999999999999
7.0,4.0,14.0,15.0,0.0,20.3,0.0069999999999999
7.0,4.0,14.0,16.0,0.0,21.8,0.0069999999999999
7.0,4.0,14.0,17.0,0.0,20.2,0.0069999999999999
7.0,4.0,14.0,18.0,0.0,20.5,0.0069999999999999
7.0,4.0,14.0,19.0,0.0,20.1,0.0069999999999999
7.0,4.0,14.0,20.0,0.0,18.6,0.0069999999999999
7.0,4.0,14.0,21.0,0.0,18.1,0.0069999999999999
7.0,4.0,14.0,22.0,0.0,16.9,0.0069999999999999
7.0,4.0,14.0,23.0,0.0,14.9,0.0069999999999999
7.0,5.0,15.0,0.0,0.0,14.5,0.0069999999999999
7.0,5.0,15.0,1.0,0.0,13.9,0.0069999999999999
7.0,5.0,15.0,2.0,0.0,13.1,0.0069999999999999
7.0,5.0,15.0,3.0,0.0,12.5,0.0069999999999999
7.0,5.0,15.0,4.0,0.0,11.5,0.0069999999999999
7.0,5.0,15.0,5.0,0.0,11.2,0.0069999999999999
7.0,5.0,15.0,6.0,0.0,12.7,0.0069999999999999
7.0,5.0,15.0,7.0,0.0,14.2,0.0069999999999999
7.0,5.0,15.0,8.0,0.0,16.0,0.0069999999999999
7.0,5.0,15.0,9.0,0.0,17.5,0.0069999999999999
7.0,5.0,15.0,10.0,0.0,19.0,0.0069999999999999
7.0,5.0,15.0,11.0,0.0,18.4,0.0069999999999999
7.0,5.0,15.0,12.0,0.0,19.4,0.0069999999999999
7.0,5.0,15.0,13.0,0.0,18.3,0.0069999999999999
7.0,5.0,15.0,14.0,0.0,19.3,0.0069999999999999
7.0,5.0,15.0,15.0,0.0,18.6,0.0069999999999999
7.0,5.0,15.0,16.0,0.0,16.6,0.0069999999999999
7.0,5.0,15.0,17.0,0.0,17.3,0.0069999999999999
7.0,5.0,15.0,18.0,0.0,18.0,0.0069999999999999
7.0,5.0,15.0,19.0,0.0,18.1,0.0069999999999999
7.0,5.0,15.0,20.0,0.0,18.5,0.0069999999999999
7.0,5.0,15.0,21.0,0.0,18.1,0.0069999999999999
7.0,5.0,15.0,22.0,0.0,18.0,0.0069999999999999
7.0,5.0,15.0,23.0,0.0,17.7,0.0069999999999999
7.0,6.0,16.0,0.0,0.0,17.7,0.0069999999999999
7.0,6.0,16.0,1.0,0.0,17.5,0.0069999999999999
7.0,6.0,16.0,2.0,0.0,17.4,0.0069999999999999
7.0,6.0,16.0,3.0,0.0,17.3,0.0069999999999999
7.0,6.0,16.0,4.0,0.0,17.3,0.0069999999999999
7.0,6.0,16.0,5.0,0.0,17.4,0.0069999999999999
7.0,6.0,16.0,6.0,0.0,17.5,0.0069999999999999
7.0,6.0,16.0,7.0,0.0,17.9,0.0069999999999999
7.0,6.0,16.0,8.0,0.0,18.2,0.0069999999999999
7.0,6.0,16.0,9.0,0.0,20.6,0.0069999999999999
7.0,6.0,16.0,10.0,0.0,21.7,0.0069999999999999
7.0,6.0,16.0,11.0,0.0,23.5,0.0069999999999999
7.0,6.0,16.0,12.0,0.0,24.4,0.0069999999999999
7.0,6.0,16.0,13.0,0.0,24.2,0.0069999999999999
7.0,6.0,16.0,14.0,0.0,25.5,0.0069999999999999
7.0,6.0,16.0,15.0,0.0,25.0,0.0069999999999999
7.0,6.0,16.0,16.0,0.0,25.5,0.0069999999999999
7.0,6.0,16.0,17.0,0.0,25.4,0.0069999999999999
7.0,6.0,16.0,18.0,0.0,23.8,0.0069999999999999
7.0,6.0,16.0,19.0,0.0,23.6,0.0069999999999999
7.0,6.0,16.0,20.0,0.0,22.3,0.0069999999999999
7.0,6.0,16.0,21.0,0.0,21.0,0.0069999999999999
7.0,6.0,16.0,22.0,0.0,19.8,0.0069999999999999
7.0,6.0,16.0,23.0,0.0,18.6,0.0069999999999999
7.0,0.0,17.0,0.0,0.0,18.3,0.0069999999999999
7.0,0.0,17.0,1.0,0.0,18.0,0.0069999999999999
7.0,0.0,17.0,2.0,0.0,18.8,0.0069999999999999
7.0,0.0,17.0,3.0,0.0,18.7,0.0069999999999999
7.0,0.0,17.0,4.0,0.0,17.7,0.0069999999999999
7.0,0.0,17.0,5.0,0.0,18.4,0.0069999999999999
7.0,0.0,17.0,6.0,0.0,18.9,0.0069999999999999
7.0,0.0,17.0,7.0,0.0,19.6,0.0069999999999999
7.0,0.0,17.0,8.0,0.0,20.2,0.0069999999999999
7.0,0.0,17.0,9.0,0.0,22.0,0.0069999999999999
7.0,0.0,17.0,10.0,0.0,22.7,0.0069999999999999
7.0,0.0,17.0,11.0,0.0,23.6,0.0069999999999999
7.0,0.0,17.0,12.0,0.0,24.6,0.0069999999999999
7.0,0.0,17.0,13.0,0.0,25.4,0.0069999999999999
7.0,0.0,17.0,14.0,0.0,26.7,0.0069999999999999
7.0,0.0,17.0,15.0,0.0,25.8,0.0069999999999999
7.0,0.0,17.0,16.0,0.0,26.8,0.0069999999999999
7.0,0.0,17.0,17.0,0.0,26.2,0.0069999999999999
7.0,0.0,17.0,18.0,0.0,25.9,0.0069999999999999
7.0,0.0,17.0,19.0,0.0,24.6,0.0069999999999999
7.0,0.0,17.0,20.0,0.0,22.9,0.0069999999999999
7.0,0.0,17.0,21.0,0.0,21.6,0.0069999999999999
7.0,0.0,17.0,22.0,0.0,20.9,0.0069999999999999
7.0,0.0,17.0,23.0,0.0,18.9,0.0069999999999999
7.0,1.0,18.0,0.0,0.0,17.8,0.0069999999999999
7.0,1.0,18.0,1.0,0.0,17.3,0.0069999999999999
7.0,1.0,18.0,2.0,0.0,17.0,0.0069999999999999
7.0,1.0,18.0,3.0,0.0,16.8,0.0069999999999999
7.0,1.0,18.0,4.0,0.0,16.0,0.0069999999999999
7.0,1.0,18.0,5.0,0.0,16.2,0.0069999999999999
7.0,1.0,18.0,6.0,0.0,16.7,0.0069999999999999
7.0,1.0,18.0,7.0,0.0,18.2,0.0069999999999999
7.0,1.0,18.0,8.0,0.0,19.6,0.0069999999999999
7.0,1.0,18.0,9.0,0.0,21.2,0.0069999999999999
7.0,1.0,18.0,10.0,0.0,22.7,0.0069999999999999
7.0,1.0,18.0,11.0,0.0,24.6,0.0069999999999999
7.0,1.0,18.0,12.0,0.0,26.2,0.0069999999999999
7.0,1.0,18.0,13.0,0.0,26.4,0.0069999999999999
7.0,1.0,18.0,14.0,0.0,28.3,0.0069999999999999
7.0,1.0,18.0,15.0,0.0,29.2,0.0069999999999999
7.0,1.0,18.0,16.0,0.0,28.8,0.0069999999999999
7.0,1.0,18.0,17.0,0.0,28.9,0.0069999999999999
7.0,1.0,18.0,18.0,0.0,28.6,0.0069999999999999
7.0,1.0,18.0,19.0,0.0,27.8,0.0069999999999999
7.0,1.0,18.0,20.0,0.0,26.4,0.0069999999999999
7.0,1.0,18.0,21.0,0.0,23.5,0.0069999999999999
7.0,1.0,18.0,22.0,0.0,22.3,0.0069999999999999
7.0,1.0,18.0,23.0,0.0,20.9,0.0069999999999999
7.0,2.0,19.0,0.0,0.0,19.5,0.0069999999999999
7.0,2.0,19.0,1.0,0.0,18.6,0.0069999999999999
7.0,2.0,19.0,2.0,0.0,17.8,0.0069999999999999
7.0,2.0,19.0,3.0,0.0,17.5,0.0069999999999999
7.0,2.0,19.0,4.0,0.0,16.7,0.0069999999999999
7.0,2.0,19.0,5.0,0.0,17.3,0.0069999999999999
7.0,2.0,19.0,6.0,0.0,20.7,0.0069999999999999
7.0,2.0,19.0,7.0,0.0,22.4,0.0069999999999999
7.0,2.0,19.0,8.0,0.0,24.9,0.0069999999999999
7.0,2.0,19.0,9.0,0.0,26.9,0.0069999999999999
7.0,2.0,19.0,10.0,0.0,29.3,0.0069999999999999
7.0,2.0,19.0,11.0,0.0,30.8,0.0069999999999999
7.0,2.0,19.0,12.0,0.0,32.1,0.0069999999999999
7.0,2.0,19.0,13.0,0.0,32.9,0.0069999999999999
7.0,2.0,19.0,14.0,0.0,32.7,0.0069999999999999
7.0,2.0,19.0,15.0,0.0,32.5,0.0069999999999999
7.0,2.0,19.0,16.0,0.0,32.5,0.0069999999999999
7.0,2.0,19.0,17.0,0.0,32.2,0.0069999999999999
7.0,2.0,19.0,18.0,0.0,31.2,0.0069999999999999
7.0,2.0,19.0,19.0,0.0,30.1,0.0069999999999999
7.0,2.0,19.0,20.0,0.0,28.5,0.0069999999999999
7.0,2.0,19.0,21.0,0.0,26.1,0.0069999999999999
7.0,2.0,19.0,22.0,0.0,24.5,0.0069999999999999
7.0,2.0,19.0,23.0,0.0,24.3,0.0069999999999999
7.0,3.0,20.0,0.0,0.0,23.6,0.0069999999999999
7.0,3.0,20.0,1.0,0.0,23.7,0.0069999999999999
7.0,3.0,20.0,2.0,0.0,23.7,0.0069999999999999
7.0,3.0,20.0,3.0,0.0,22.9,0.0069999999999999
7.0,3.0,20.0,4.0,0.0,22.8,0.0069999999999999
7.0,3.0,20.0,5.0,0.0,23.8,0.0069999999999999
7.0,3.0,20.0,6.0,0.0,23.7,0.0069999999999999
7.0,3.0,20.0,7.0,0.0,23.3,0.0069999999999999
7.0,3.0,20.0,8.0,0.0,23.9,0.0069999999999999
7.0,3.0,20.0,9.0,0.0,22.8,0.0069999999999999
7.0,3.0,20.0,10.0,0.0,22.6,0.0069999999999999
7.0,3.0,20.0,11.0,0.0,24.1,0.0069999999999999
